month,hs_mean,hs_q25,hs_q75,Tm02_mean,Tm02_q25,Tm02_q75,N_samples,dir_mean,R,dir_cstd,n_dir,dir_mean_unwrapped,month_name
1,3.103,1.868,4.030,6.817,5.640,8.000,20088,269.911,0.824,35.602,20088,269.911,Jan
2,2.930,1.722,3.846,6.844,5.570,8.000,18312,272.835,0.854,32.163,18312,272.835,Feb
3,2.395,1.476,3.024,6.359,5.070,7.460,20088,274.207,0.818,36.346,20088,274.207,Mar
4,1.956,1.232,2.416,5.809,4.530,6.900,19440,275.908,0.784,40.017,19440,275.908,Apr
5,1.653,1.080,2.016,5.345,4.320,6.170,20088,275.073,0.806,37.644,20088,275.073,May
6,1.481,0.980,1.802,5.110,4.070,5.940,19440,278.830,0.843,33.475,19440,278.830,Jun
7,1.437,0.978,1.738,4.955,4.130,5.660,20088,281.030,0.909,24.983,20088,281.030,Jul
8,1.425,0.946,1.708,5.051,4.170,5.830,20088,280.106,0.907,25.366,20088,280.106,Aug
9,1.664,1.064,2.016,5.505,4.350,6.440,19440,281.044,0.797,38.609,19440,281.044,Sep
10,2.196,1.381,2.746,5.988,4.890,6.940,20088,268.891,0.824,35.639,20088,268.891,Oct
11,2.569,1.558,3.346,6.145,5.050,7.190,19440,272.492,0.819,36.195,19440,272.492,Nov
12,2.915,1.754,3.862,6.508,5.260,7.680,20088,267.546,0.797,38.602,20088,267.546,Dec
