month,month_name,wspd_mean,wspd_q25,wspd_q75,wdir_mean,wdir_mean_unwrapped,wdir_cstd,wdir_R,wdir_n,cspd_mean,cspd_q25,cspd_q75,cdir_mean,cdir_mean_unwrapped,cdir_cstd,cdir_R,cdir_n
1,Jan,8.761,6.021,11.114,261.392,261.392,102.125,0.204,20088,0.081,0.045,0.112,273.336,273.336,194.790,0.003,20088
2,Feb,8.278,5.566,10.686,278.738,278.738,103.858,0.193,18312,0.081,0.045,0.112,271.016,271.016,194.857,0.003,18312
3,Mar,7.427,5.054,9.489,317.852,317.852,122.866,0.100,20088,0.081,0.045,0.112,262.265,262.265,196.481,0.003,20088
4,Apr,6.846,4.519,8.905,328.098,328.098,111.138,0.152,19440,0.081,0.045,0.112,263.391,263.391,193.870,0.003,19440
5,May,6.410,4.328,8.250,316.288,316.288,99.073,0.224,20088,0.081,0.045,0.110,274.354,274.354,196.253,0.003,20088
6,Jun,6.036,4.168,7.639,305.817,305.817,83.334,0.347,19440,0.081,0.045,0.112,275.361,275.361,196.057,0.003,19440
7,Jul,6.009,4.248,7.569,297.963,297.963,70.639,0.468,20088,0.081,0.045,0.112,283.834,283.834,192.340,0.004,20088
8,Aug,5.739,3.905,7.306,299.317,299.317,74.761,0.427,20088,0.081,0.045,0.112,257.214,257.214,194.828,0.003,20088
9,Sep,6.246,4.187,8.062,323.705,323.705,101.721,0.207,19440,0.081,0.045,0.112,267.775,267.775,195.275,0.003,19440
10,Oct,7.210,4.804,9.266,240.767,240.767,116.216,0.128,20088,0.081,0.045,0.112,263.930,263.930,195.062,0.003,20088
11,Nov,8.279,5.880,10.647,273.164,273.164,100.471,0.215,19440,0.081,0.045,0.112,267.187,267.187,193.138,0.003,19440
12,Dec,8.834,6.213,11.262,257.147,257.147,107.416,0.172,20088,0.081,0.045,0.112,282.767,282.767,195.568,0.003,20088
