month,hs_mean,hs_q25,hs_q75,Tm02_mean,Tm02_q25,Tm02_q75,N_samples,dir_mean,R,dir_cstd,n_dir,dir_mean_unwrapped,month_name
1,2.267,1.274,3.028,6.316,5.090,7.500,20088,254.972,0.925,22.652,20088,254.972,Jan
2,2.139,1.158,2.900,6.407,5.050,7.600,18312,257.701,0.935,21.044,18312,257.701,Feb
3,1.719,0.930,2.260,5.821,4.470,7.010,20088,258.254,0.916,23.961,20088,258.254,Mar
4,1.414,0.784,1.818,5.316,3.900,6.480,19440,261.340,0.887,27.998,19440,261.340,Apr
5,1.203,0.710,1.494,4.837,3.740,5.710,20088,262.259,0.898,26.524,20088,262.259,May
6,1.091,0.654,1.350,4.612,3.510,5.470,19440,265.819,0.920,23.378,19440,265.819,Jun
7,1.054,0.640,1.318,4.399,3.540,5.070,20088,267.764,0.944,19.416,20088,267.764,Jul
8,1.025,0.616,1.252,4.444,3.527,5.200,20088,266.210,0.950,18.406,20088,266.210,Aug
9,1.154,0.630,1.482,4.857,3.540,5.820,19440,265.195,0.883,28.549,19440,265.195,Sep
10,1.591,0.894,2.070,5.431,4.230,6.430,20088,255.195,0.917,23.833,20088,255.195,Oct
11,1.836,0.960,2.502,5.471,4.280,6.550,19440,257.101,0.888,27.866,19440,257.101,Nov
12,2.136,1.142,2.979,6.009,4.780,7.160,20088,253.667,0.921,23.216,20088,253.667,Dec
