month,month_name,wspd_mean,wspd_q25,wspd_q75,wdir_mean,wdir_mean_unwrapped,wdir_cstd,wdir_R,wdir_n,cspd_mean,cspd_q25,cspd_q75,cdir_mean,cdir_mean_unwrapped,cdir_cstd,cdir_R,cdir_n
1,Jan,7.877,5.277,10.052,261.267,261.267,104.627,0.189,20088,0.067,0.045,0.086,62.018,422.018,227.712,0.000,20088
2,Feb,7.445,4.876,9.626,277.592,277.592,104.113,0.192,18312,0.067,0.045,0.086,196.230,196.230,219.994,0.001,18312
3,Mar,6.792,4.588,8.617,314.779,314.779,120.545,0.109,20088,0.067,0.045,0.086,281.139,281.139,240.026,0.000,20088
4,Apr,6.326,4.176,8.215,322.992,322.992,109.847,0.159,19440,0.067,0.045,0.086,310.206,310.206,221.199,0.001,19440
5,May,5.996,4.031,7.666,312.675,312.675,98.866,0.226,20088,0.067,0.045,0.086,240.851,240.851,232.519,0.000,20088
6,Jun,5.646,3.920,7.084,301.517,301.517,83.033,0.350,19440,0.067,0.045,0.086,100.293,460.293,229.249,0.000,19440
7,Jul,5.611,3.970,7.058,292.586,292.586,70.784,0.466,20088,0.067,0.045,0.086,70.886,430.886,223.295,0.001,20088
8,Aug,5.349,3.677,6.780,294.416,294.416,75.049,0.424,20088,0.067,0.045,0.086,14.184,374.184,231.874,0.000,20088
9,Sep,5.775,3.890,7.406,319.550,319.550,99.573,0.221,19440,0.067,0.045,0.086,221.171,221.171,221.590,0.001,19440
10,Oct,6.640,4.360,8.559,243.551,243.551,119.874,0.112,20088,0.067,0.045,0.086,354.626,354.626,232.450,0.000,20088
11,Nov,7.505,5.174,9.677,273.982,273.982,102.935,0.199,19440,0.067,0.045,0.086,179.246,179.246,228.652,0.000,19440
12,Dec,7.993,5.438,10.231,261.928,261.928,111.006,0.153,20088,0.067,0.045,0.086,18.137,378.137,232.325,0.000,20088
