month,hs_mean,hs_q25,hs_q75,Tm02_mean,Tm02_q25,Tm02_q75,N_samples,dir_mean,R,dir_cstd,n_dir,dir_mean_unwrapped,month_name
1,1.851,0.978,2.488,5.388,4.250,6.470,20088,236.498,0.855,32.062,20088,236.498,Jan
2,1.722,0.886,2.344,5.445,4.180,6.510,18312,240.496,0.869,30.306,18312,240.496,Feb
3,1.392,0.740,1.846,4.930,3.680,5.970,20088,240.680,0.821,36.004,20088,240.680,Mar
4,1.161,0.624,1.494,4.560,3.290,5.550,19440,244.743,0.776,40.788,19440,244.743,Apr
5,0.997,0.570,1.244,4.180,3.170,4.970,20088,247.942,0.812,37.011,20088,247.942,May
6,0.895,0.522,1.096,4.009,3.020,4.780,19440,252.910,0.825,35.535,19440,252.910,Jun
7,0.866,0.498,1.091,3.830,3.050,4.440,20088,255.410,0.876,29.419,20088,255.410,Jul
8,0.845,0.482,1.040,3.876,3.010,4.570,20088,254.185,0.897,26.671,20088,254.185,Aug
9,0.942,0.500,1.206,4.150,2.940,5.010,19440,249.766,0.762,42.223,19440,249.766,Sep
10,1.335,0.700,1.764,4.684,3.570,5.610,20088,238.051,0.854,32.173,20088,238.051,Oct
11,1.523,0.786,2.078,4.714,3.620,5.710,19440,239.930,0.821,35.986,19440,239.930,Nov
12,1.768,0.916,2.466,5.165,4.010,6.200,20088,235.660,0.854,32.152,20088,235.660,Dec
