month,month_name,wspd_mean,wspd_q25,wspd_q75,wdir_mean,wdir_mean_unwrapped,wdir_cstd,wdir_R,wdir_n,cspd_mean,cspd_q25,cspd_q75,cdir_mean,cdir_mean_unwrapped,cdir_cstd,cdir_R,cdir_n
1,Jan,8.794,6.075,11.140,261.766,261.766,103.072,0.198,20088,0.097,0.061,0.127,33.220,33.220,231.746,0.000,20088
2,Feb,8.303,5.604,10.715,279.495,279.495,104.252,0.191,18312,0.096,0.061,0.126,28.593,28.593,239.430,0.000,18312
3,Mar,7.479,5.124,9.519,319.103,319.103,121.666,0.105,20088,0.097,0.061,0.127,249.716,249.716,222.321,0.001,20088
4,Apr,6.895,4.549,8.974,327.733,327.733,109.059,0.163,19440,0.096,0.061,0.127,166.096,166.096,226.067,0.000,19440
5,May,6.482,4.393,8.345,317.546,317.546,97.503,0.235,20088,0.096,0.061,0.126,91.378,91.378,246.491,0.000,20088
6,Jun,6.096,4.219,7.716,307.932,307.932,82.024,0.359,19440,0.096,0.061,0.126,81.081,81.081,227.247,0.000,19440
7,Jul,6.080,4.319,7.658,299.490,299.490,69.652,0.478,20088,0.096,0.061,0.127,46.315,46.315,221.143,0.001,20088
8,Aug,5.817,3.981,7.411,301.739,301.739,73.998,0.434,20088,0.097,0.061,0.127,22.687,22.687,226.292,0.000,20088
9,Sep,6.326,4.251,8.144,325.884,325.884,99.372,0.222,19440,0.096,0.061,0.127,219.070,219.070,226.463,0.000,19440
10,Oct,7.259,4.859,9.325,242.562,242.562,118.489,0.118,20088,0.096,0.061,0.126,222.182,222.182,222.370,0.001,20088
11,Nov,8.334,5.903,10.700,272.909,272.909,101.602,0.208,19440,0.096,0.061,0.126,112.836,112.836,228.276,0.000,19440
12,Dec,8.878,6.220,11.289,258.102,258.102,108.446,0.167,20088,0.096,0.061,0.127,28.567,28.567,253.010,0.000,20088
